GEO.id,GEO.display-label,Male,Female,F first baby
01,Alabama,27.7,26,23.6
02,Alaska,28.7,25.5,24.3
04,Arizona,28.8,27.3,24
05,Arkansas,26.9,25.2,23
06,California,30,27.9,25.6
08,Colorado,28.1,26.5,25.7
09,Connecticut,30.3,28.7,27.2
10,Delaware,29.7,27.6,25
11,District of Columbia,30.2,29.8,26.5
12,Florida,29.9,27.8,25
13,Georgia,29,26.8,24.5
15,Hawaii,28.4,26.9,25.7
16,Idaho,26.3,24.4,23.8
17,Illinois,29.7,28.2,25.4
18,Indiana,27.8,26.3,24
19,Iowa,27.6,26.1,24.5
20,Kansas,27,25.7,24.2
21,Kentucky,27.3,25.6,23.8
22,Louisiana,28.9,27.1,23.3
23,Maine,28.7,26.4,25.6
24,Maryland,29.7,28.1,26.1
25,Massachusetts,30.7,29.2,27.7
26,Michigan,29.5,27.5,25
27,Minnesota,28.8,26.6,25.8
28,Mississippi,28.4,26.4,22.6
29,Missouri,27.8,26.5,24.1
30,Montana,28.5,26.1,24.5
31,Nebraska,27.3,25.8,24.7
32,Nevada,28.4,26.8,24.6
33,New Hampshire,29.7,27.1,26.7
34,New Jersey,30.6,28.4,27.2
35,New Mexico,26.9,26.3,23
36,New York,30.9,29.3,26.8
37,North Carolina,28.3,26.6,24.6
38,North Dakota,27.3,25.8,24.7
39,Ohio,29,27.1,24.7
40,Oklahoma,26.6,25.3,23.1
41,Oregon,29.1,27.6,25.4
42,Pennsylvania,29.8,27.7,25.5
44,Rhode Island,31.6,29.5,26.2
45,South Carolina,28.3,26.8,24
46,South Dakota,28.3,25.7,24
47,Tennessee,27.9,26.1,24
48,Texas,27.8,26.1,23.9
49,Utah,26.2,24.1,23.9
50,Vermont,30.6,28.8,26.5
51,Virginia,28.7,26.8,25.8
53,Washington,28.1,26.3,25.9
54,West Virginia,27.1,25.7,23.9
55,Wisconsin,28.6,27,25.3
56,Wyoming,26.9,25,23.7
