state.id,state,county.id,county,total households,family households total,family households with own children under 18 yrs,type: family households with husband-wife family,"type: family households with female householder, no husband present",total nonfamily households,type: nonfamily households iving alone total,type: nonfamily households iving alone 65yrs and older,avg population per household,avg population per family
1,Alabama,1,Alabama,1883791(r427),67.8,28.6,47.9,15.3,32.2,27.4,9.8,2.48,3.02
1,Alabama,1001,Autauga County,20221,74.5,34.9,56.2,13.7,25.5,22,7.9,2.68,3.13
1,Alabama,1003,Baldwin County,73180,69.9,28,54.5,11.1,30.1,25.1,10.2,2.46,2.93
1,Alabama,1005,Barbour County,9820,68.4,27.4,43.7,19.8,31.6,28.5,11.5,2.47,3.01
1,Alabama,1007,Bibb County,7953,72.3,29.5,52.5,14.4,27.7,24.5,9.9,2.6,3.09
1,Alabama,1009,Blount County,21578,75,31.1,60.6,9.7,25,22.2,9.7,2.63,3.07
1,Alabama,1011,Bullock County,3745,63.7,27.2,31.5,26.8,36.3,32.8,11.7,2.46,3.12
1,Alabama,1013,Butler County,8491,67.6,28,43.3,19.8,32.4,29.7,13,2.43,3
1,Alabama,1015,Calhoun County,47331,66.8,26.7,46.8,15.2,33.2,27.7,10.2,2.44,2.97
1,Alabama,1017,Chambers County,13933,67.4,24.6,42.6,19.1,32.6,29.1,12.3,2.42,2.97
1,Alabama,1019,Cherokee County,10626,70.5,25.1,55.3,10.4,29.5,26,11.4,2.42,2.89
1,Alabama,1021,Chilton County,16558,73,31.4,55.8,12,27,23.5,10,2.61,3.06
1,Alabama,1023,Choctaw County,5866,66,24.8,46.6,15.8,34,31.7,12.8,2.34,2.95
1,Alabama,1025,Clarke County,10337,69.7,29.2,48.3,17.5,30.3,28.1,11.3,2.47,3.02
1,Alabama,1027,Clay County,5670,70.2,27.1,52.7,12.8,29.8,27.2,11.8,2.41,2.92
1,Alabama,1029,Cleburne County,5891,71.2,28.7,56.2,10.3,28.8,25.1,11.2,2.51,2.99
1,Alabama,1031,Coffee County,19849,69.7,30.1,52.6,12.9,30.3,25.4,9.8,2.49,2.98
1,Alabama,1033,Colbert County,22773,67.8,26.3,49.9,13.7,32.2,28.8,12.6,2.37,2.9
1,Alabama,1035,Conecuh County,5625,66.1,24.8,41.8,19.1,33.9,30.9,13.3,2.34,2.92
1,Alabama,1037,Coosa County,4794,68.7,23,49.5,14.1,31.3,27.9,11,2.38,2.89
1,Alabama,1039,Covington County,15531,67.9,26,50.2,13.1,32.1,28.1,13.6,2.39,2.91
1,Alabama,1041,Crenshaw County,5652,68.7,27.3,48.7,15.6,31.3,28.1,11.9,2.44,2.97
1,Alabama,1043,Cullman County,31864,70.6,28,55.2,10.4,29.4,25.7,11,2.49,2.98
1,Alabama,1045,Dale County,20065,68.4,30.1,48.9,14.6,31.6,27.3,9.7,2.46,2.98
1,Alabama,1047,Dallas County,17064,67,28.2,35,27.1,33,30,11.5,2.52,3.14
1,Alabama,1049,DeKalb County,26842,72.1,31.2,56,11,27.9,24.6,10.6,2.62,3.11
1,Alabama,1051,Elmore County,28301,74.2,32.5,56.6,13.1,25.8,22,7.8,2.61,3.04
1,Alabama,1053,Escambia County,14157,68.6,27.8,46.1,17.3,31.4,27.7,12.4,2.48,3.01
1,Alabama,1055,Etowah County,42036,68.3,27.1,49.3,14.3,31.7,28.1,11.9,2.43,2.97
1,Alabama,1057,Fayette County,7100,69.2,25.9,52.4,12.3,30.8,27.5,12.3,2.39,2.89
1,Alabama,1059,Franklin County,12286,71.1,30,53.5,12.3,28.9,26.1,12.3,2.56,3.05
1,Alabama,1061,Geneva County,10920,69.8,25.6,51.3,13.3,30.2,26.7,12,2.43,2.92
1,Alabama,1063,Greene County,3764,63,24.1,33.2,24.9,37,34.4,13.5,2.39,3.1
1,Alabama,1065,Hale County,6273,67.7,28.6,41.5,21.5,32.3,29.5,11.8,2.46,3.05
1,Alabama,1067,Henry County,6994,71.1,25.9,51.9,14.6,28.9,25.9,11.7,2.45,2.92
1,Alabama,1069,Houston County,40969,68.4,29.2,47.9,16.2,31.6,27.2,9.7,2.44,2.96
1,Alabama,1071,Jackson County,21513,70.7,26.7,54.8,11.3,29.3,26.2,11.6,2.45,2.93
1,Alabama,1073,Jefferson County,263568(r448),64.6,27.5,41.8,18.4,35.4,30.1,9.9,2.44,3.05
1,Alabama,1075,Lamar County,6103,68.9,26.1,53.2,11.6,31.1,28.8,13.3,2.35,2.88
1,Alabama,1077,Lauderdale County,38680,66.4,26.1,50.3,12.2,33.6,28.9,11.4,2.35,2.89
1,Alabama,1079,Lawrence County,13654,73.1,29.4,55.7,12.6,26.9,24.2,10.2,2.5,2.95
1,Alabama,1081,Lee County,55682(r23),60.5,28,43.1,13,39.5,27.9,6,2.44,3.03
1,Alabama,1083,Limestone County,31446,72.7,31.4,57,11.4,27.3,23.7,8.6,2.54,3
1,Alabama,1085,Lowndes County,4352,70.6,24.9,40.1,25.4,29.4,26.9,9.9,2.57,3.14
1,Alabama,1087,Macon County,8499,59.4,22,28.6,25.6,40.6,35,11.3,2.32,3.01
1,Alabama,1089,Madison County,134700,66.2,29.7,49.1,12.8,33.8,28.7,8.3,2.43,3
1,Alabama,1091,Marengo County,8535,67.8,27.9,43.7,19.5,32.2,29.6,11.7,2.43,3.01
1,Alabama,1093,Marion County,12651,68.6,26.3,51.9,12.1,31.4,28.4,13.1,2.36,2.87
1,Alabama,1095,Marshall County,35810,70.7,30.3,53.4,12.1,29.3,25.4,11.4,2.57,3.05
1,Alabama,1097,Mobile County,158435(r270),68.4,29.6,44.7,18.8,31.6,26.5,9.2,2.56,3.11
1,Alabama,1099,Monroe County,9214,69.6,29.2,47,18.1,30.4,27.4,11.4,2.48,3.01
1,Alabama,1101,Montgomery County,89981,64.3,28.8,38.6,20.9,35.7,30.4,9.4,2.45,3.06
1,Alabama,1103,Morgan County,47030,70.5,30,52.9,12.9,29.5,25.9,9.9,2.5,2.99
1,Alabama,1105,Perry County,3947,67.5,26.6,35.6,27.1,32.5,29.3,11.8,2.5,3.1
1,Alabama,1107,Pickens County,8012,67.5,26.4,44.4,18.4,32.5,30.1,12.8,2.42,3
1,Alabama,1109,Pike County,13210,58.7,23.9,38.1,16.2,41.3,30.3,9.5,2.34,2.94
1,Alabama,1111,Randolph County,9164,69.4,27,51,13.9,30.6,27.9,12.6,2.46,2.98
1,Alabama,1113,Russell County,21229,66.3,29.2,39.7,21.3,33.7,29.1,9.8,2.47,3.03
1,Alabama,1115,St. Clair County,31624,73.9,30.7,58.3,11.2,26.1,22.5,8.5,2.58,3.02
1,Alabama,1117,Shelby County,74072,72.5,34.3,59.7,9.4,27.5,23.2,6.2,2.6,3.08
1,Alabama,1119,Sumter County,5629,60.1,23.7,31.4,24.2,39.9,34.8,12.8,2.32,3.02
1,Alabama,1121,Talladega County,31890,69.6,27.8,47.2,17.5,30.4,26.7,10.2,2.48,2.98
1,Alabama,1123,Tallapoosa County,16985,69.2,25.6,48.4,15.9,30.8,27.2,11.4,2.42,2.91
1,Alabama,1125,Tuscaloosa County,76141,60.8,26.4,41.6,14.9,39.2,29.2,7.7,2.42,3.02
1,Alabama,1127,Walker County,26571,70.5,26.8,52,13.3,29.5,25.8,11.3,2.49,2.97
1,Alabama,1129,Washington County,6758,72.8,30.4,55.2,13.3,27.2,24.5,10.6,2.58,3.08
