GEO.id2,GEO.display-label,Unemployment,Unemployment 25-44,Employed 25-44,Female Unemployment,Male Unemployment
01,Alabama,11,10.7,70.2,10.5,10.1
02,Alaska,8.8,8.4,71.5,6.9,9.5
04,Arizona,10.9,9.7,71,9.6,10.5
05,Arkansas,9.1,8.8,72.1,7.9,8.6
06,California,12.1,10.9,71.8,11.2,11.5
08,Colorado,9,7.6,77,7.7,8.6
09,Connecticut,10.3,9.9,76.7,9.1,10.1
10,Delaware,9.1,8.7,76.2,7.9,9.2
11,District of Columbia,11.4,9.9,78.3,10.6,11.7
12,Florida,12.4,11.5,72.2,11,12.3
13,Georgia,11.9,10.8,71.4,11.1,10.9
15,Hawaii,7.5,7.6,72.3,6.2,7.8
16,Idaho,9.3,7.9,73.9,7.5,9.1
17,Illinois,10.8,9.9,75.5,9.4,10.7
18,Indiana,9.8,9.3,75.1,8.7,9.6
19,Iowa,6,5.2,82.5,4.9,5.8
20,Kansas,7.3,6.9,77.9,6.5,6.9
21,Kentucky,10.3,10.1,70.2,8.9,10.2
22,Louisiana,9.3,8.7,72.3,8.3,8.8
23,Maine,8.1,8.2,76.9,6.5,8.6
24,Maryland,8.6,7.9,78.6,7.5,8.4
25,Massachusetts,9.3,8.4,78.1,7.6,9.4
26,Michigan,13.1,12.6,71.6,10.9,13.4
27,Minnesota,7.4,6.5,82.3,6,7.6
28,Mississippi,11.7,11,68.8,10.9,10.7
29,Missouri,9.3,8.6,75.8,7.9,9.3
30,Montana,7.6,6.8,78,5.8,8.1
31,Nebraska,6.1,5.6,82.1,5.2,5.6
32,Nevada,13.1,11.6,72.8,11.5,13
33,New Hampshire,7,5.9,80.9,5.9,6.6
34,New Jersey,10.6,9.8,75.6,9.9,10
35,New Mexico,10.3,9.7,70.4,8.7,10
36,New York,9.5,8.7,75.1,8.5,9.3
37,North Carolina,11.7,10.8,72.2,10.7,11.1
38,North Dakota,3.4,2.8,84.6,2.7,3.1
39,Ohio,10.3,9.6,74.9,8.4,10.4
40,Oklahoma,7.5,7.2,73,6.9,6.9
41,Oregon,11.9,11.3,72.4,9.8,12.3
42,Pennsylvania,9.2,8.7,75.6,7.8,9.2
44,Rhode Island,10.2,9.2,76.9,8.5,10.3
45,South Carolina,12,11.1,71.6,11.1,11.2
46,South Dakota,5.3,5,81.9,4.3,5.2
47,Tennessee,10.4,9.8,72.1,9.6,9.9
48,Texas,8.4,7.5,73.9,7.9,7.6
49,Utah,8,7,75.1,6.9,7.3
50,Vermont,6.8,6.4,80.4,5.7,7.1
51,Virginia,7.4,6.7,75.8,6.5,7.1
53,Washington,10,9,73.3,8.8,9.7
54,West Virginia,8.6,8.8,68.8,6.6,9.2
55,Wisconsin,8.1,7.7,79.9,6.6,8.5
56,Wyoming,5.8,5.8,78.7,4.9,5.6
,,,,,,
,,9.274509804,8.592156863,75.21960784,8.047058824,9.090196078
