GEO.id2,GEO.display-label,% HS degree,%bachelor's degree
01,Alabama,84,23.3
02,Alaska,92,28
04,Arizona,85.7,27.3
05,Arkansas,84.8,21
06,California,81.5,30.9
08,Colorado,90.6,37.5
09,Connecticut,89.9,37.1
10,Delaware,88.5,29.5
11,District of Columbia,88.6,53
12,Florida,86.5,26.8
13,Georgia,85,28.2
15,Hawaii,90.4,30.1
16,Idaho,89.8,25.5
17,Illinois,87.6,31.6
18,Indiana,87.6,23.4
19,Iowa,91.6,26.3
20,Kansas,90.2,30.4
21,Kentucky,83.8,21.8
22,Louisiana,83,22
23,Maine,91.6,28
24,Maryland,89.1,36.9
25,Massachusetts,89.7,39.3
26,Michigan,89.2,26
27,Minnesota,92.5,33.2
28,Mississippi,82.3,20.7
29,Missouri,88,26.4
30,Montana,92.8,29.4
31,Nebraska,90.5,29
32,Nevada,84.9,22.4
33,New Hampshire,91.8,34.6
34,New Jersey,88.3,36.2
35,New Mexico,84.4,26.1
36,New York,85.3,33.4
37,North Carolina,85.2,27.4
38,North Dakota,91.7,27.9
39,Ohio,88.8,25.2
40,Oklahoma,86.7,23.8
41,Oregon,89.9,29.9
42,Pennsylvania,88.9,27.8
44,Rhode Island,86.1,31.4
45,South Carolina,84.9,25.1
46,South Dakota,90.5,26.3
47,Tennessee,85.1,24.3
48,Texas,81.4,26.7
49,Utah,91,30.7
50,Vermont,91.7,35.8
51,Virginia,87.9,35.5
53,Washington,90.4,31.7
54,West Virginia,84.5,18.6
55,Wisconsin,90.7,27.1
56,Wyoming,91.7,24.7
